CGP1_Resource1_Attempted_AVE,CGP1_Resource1_Attempted_LIST,CGP1_Resource1_Completed_AVE,CGP1_Resource1_Completed_LIST,CGP1_Resource3_Attempted_AVE,CGP1_Resource3_Attempted_LIST,CGP1_Resource3_Completed_AVE,CGP1_Resource3_Completed_LIST,CGP1_Resource5_Attempted_AVE,CGP1_Resource5_Attempted_LIST,CGP1_Resource5_Completed_AVE,CGP1_Resource5_Completed_LIST,CGP2_Resource1_Attempted_AVE,CGP2_Resource1_Attempted_LIST,CGP2_Resource1_Completed_AVE,CGP2_Resource1_Completed_LIST,CGP2_Resource3_Attempted_AVE,CGP2_Resource3_Attempted_LIST,CGP2_Resource3_Completed_AVE,CGP2_Resource3_Completed_LIST,CGP2_Resource5_Attempted_AVE,CGP2_Resource5_Attempted_LIST,CGP2_Resource5_Completed_AVE,CGP2_Resource5_Completed_LIST,ID,alive,brain1Num,optimizeValue,score_AVE,score_LIST,timeOfBirth,tournament_numOffspring,update
0.000000,"0,0,0",0.000000,"0,0,0",0.333333,"0,0,1",0.333333,"0,0,1",0.000000,"0,0,0",0.000000,"0,0,0",0.666667,"0,2,0",0.666667,"0,2,0",0.666667,"0,2,0",0.333333,"0,1,0",0.000000,"0,0,0",0.000000,"0,0,0",65,1,5,0.666667,0.666667,"0,1,1",-1,1,0
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",1001,1,8,0.000000,0.000000,"0,0,0",9,2,10
0.000000,"0,0,0",0.000000,"0,0,0",0.666667,"0,2,0",0.666667,"0,2,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",2043,1,8,0.666667,0.666667,"0,2,0",19,4,20
0.333333,"1,0,0",0.333333,"1,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",3051,1,1,0.333333,0.333333,"1,0,0",29,6,30
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",4001,1,3,0.000000,0.000000,"0,0,0",39,1,40
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",1.000000,"1,1,1",1.000000,"1,1,1",0.000000,"0,0,0",0.000000,"0,0,0",5083,1,6,1.000000,1.000000,"1,1,1",49,2,50
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.333333,"0,1,0",0.333333,"0,1,0",0.000000,"0,0,0",0.000000,"0,0,0",6001,1,8,0.333333,0.333333,"0,1,0",59,2,60
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",7006,1,7,0.000000,0.000000,"0,0,0",69,4,70
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.333333,"0,0,1",0.333333,"0,0,1",0.000000,"0,0,0",0.000000,"0,0,0",8015,1,9,0.333333,0.333333,"0,0,1",79,8,80
0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.333333,"0,0,1",0.333333,"0,0,1",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",9021,1,8,0.333333,0.333333,"0,0,1",89,4,90
1.000000,"1,2,0",1.000000,"1,2,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",0.000000,"0,0,0",10040,1,8,1.000000,1.000000,"1,2,0",99,3,100
