CGP1_Resource1_Attempted_AVE,CGP1_Resource1_Completed_AVE,CGP1_Resource3_Attempted_AVE,CGP1_Resource3_Completed_AVE,CGP1_Resource5_Attempted_AVE,CGP1_Resource5_Completed_AVE,CGP2_Resource1_Attempted_AVE,CGP2_Resource1_Completed_AVE,CGP2_Resource3_Attempted_AVE,CGP2_Resource3_Completed_AVE,CGP2_Resource5_Attempted_AVE,CGP2_Resource5_Completed_AVE,brain1Num_AVE,optimizeValue_AVE,score_AVE,update
75.636667,1.126667,221.676667,0.506667,3.943333,0.000000,170.573333,1.016667,127.740000,0.356667,2.200000,0.000000,5.000000,-1182.233333,-1182.233333,0
3.026667,0.023333,7.013333,0.013333,0.000000,0.000000,14.073333,0.086667,12.490000,0.013333,0.000000,0.000000,5.710000,-72.796667,-72.796667,10
8.100000,0.093333,39.026667,0.026667,0.000000,0.000000,4.190000,0.146667,16.256667,0.023333,0.000000,0.000000,4.720000,-134.276667,-134.276667,20
11.043333,0.043333,16.016667,0.016667,0.000000,0.000000,1.506667,0.003333,5.000000,0.003333,0.000000,0.000000,4.660000,-66.933333,-66.933333,30
7.010000,0.013333,3.013333,0.013333,0.000000,0.000000,1.006667,0.003333,1.006667,0.000000,0.000000,0.000000,4.140000,-23.983333,-23.983333,40
24.970000,0.016667,25.070000,0.070000,0.000000,0.000000,2.023333,0.010000,2.053333,0.023333,0.000000,0.000000,4.190000,-107.873333,-107.873333,50
1.010000,0.010000,2.010000,0.010000,0.000000,0.000000,14.920000,0.036667,5.850000,0.403333,0.000000,0.000000,5.950000,-46.200000,-46.200000,60
2.010000,0.010000,2.010000,0.003333,0.000000,0.000000,8.720000,0.000000,3.436667,0.000000,0.000000,0.000000,7.880000,-32.313333,-32.313333,70
3.010000,0.003333,0.023333,0.013333,0.000000,0.000000,1.983333,0.003333,20.520000,0.016667,0.000000,0.000000,7.870000,-50.963333,-50.963333,80
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003333,0.003333,0.000000,0.000000,0.000000,0.000000,8.000000,0.003333,0.003333,90
22.050000,0.050000,0.060000,0.060000,0.000000,0.000000,0.003333,0.000000,0.030000,0.030000,0.000000,0.000000,7.540000,-43.866667,-43.866667,100
